date,growth,term,inflation,credit,buyout,vc,fof_secondary,fof_primary,senior_loan,mezzanine,apac_equity,hfri_fof_cons,msci_gpfi,re_noncore,gl1,gl2,epra_nareit,infra_core,ftse_fi_infra
2023-12-31,0.1103435392,0.06648863325,-0.01129257766,0.02894244246,0.0368,0.0136,0.0334,0.0153,0.0397,0.0357,0.023,0.01927171948,-0.03813,-0.0345,0.0459,0.0180451,0.1558707967,0.0443,0.09056117145
2024-03-31,0.08196335249,-0.0142964152,0.01194530201,0.009954587207,0.0119,0.0166,0.0154,0.0069,0.0133,0.0218,-0.0138,0.02602979062,-0.015876,-0.012,0.0029,0.0168461,-0.01047122524,-0.0049,-0.005907968962
2024-06-30,0.02869275643,-0.001541568061,0.009102714142,0.004253845689,0.0137,0.0043,0.0069,-0.0029,0.0276,0.0165,0.0031,0.007868159865,-0.007744,-0.0072,0.010959,0.0182224,-0.02148580261,0.0109,-0.001277884592
2024-09-30,0.06613876405,0.05736528509,-0.01144358737,0.007291836669,0.0301,0.0246,0.0191,0.0181,0.0335,0.0256,0.0331,0.01570773641,0.002664,0.0031,0.046344,0.0032141,0.1633437879,0.0564,0.06404889223
2024-12-31,-0.009888527434,-0.04580042777,0.0145031224,0.01274866088,0.005,0.0402,0.0063,0.0042,-0.004,0.0113,-0.0064,0.01276531222,0.007843,-0.0239,-0.010506,0.0292064,-0.09452014865,-0.0314,-0.02915345302
2025-03-31,-0.01324525533,0.03886027114,0.005132884459,-0.01001407966,0.018,0.0333,0.0121,0.014,0.0317,0.0171,0.016,0.007303026166,,0.0074,0.0323,0.0110708,0.01854582685,0.0307,0.01924291207
2025-06-30,0.1152663629,0.01404564316,-0.007948189357,0.01249439283,0.0432,0.0525,0.0273,0.0381,0.0372,0.0379,0.0379,0.01946508516,,0.017,0.0187,-0.0013313,0.04719610267,0.0819,0.0164058168
2025-09-30,0.07622802947,0.0175747284,0.004672890587,0.01156343509,0.0159,0.0742,0.0255,0.0396,0.0156,0.0203,0.0363,0.02805607544,,-0.0037,,,0.04311918216,0.0078,0.03068180518
2025-12-31,0.03292113712,0.01119913141,-0.009010261129,0.002664860306,0.0194,0.0889,0.0132,0.0359,0.0095,0.0147,0.0278,0.02341932069,,0.0008,,,-0.005008104449,0.017,0.008503110457
2026-03-31,-0.03201564589,-0.002843338037,0.004978082345,-0.00483623114,-0.0092,0.0381,-0.0058,0.0054,-0.0016,0.0114,0.0186,0.01146283634,,-0.0053,,,0.01300854147,-0.0069,-0.003777927318
2026-06-30,0.1492878892,0.001276171481,0.007757173643,0.01186573782,,,,,,,,,,,,,,,
